source_entity,relationship_type,target_entity,source_document
Factory Hand,HAS_CHARACTERISTIC,Unskilled,Ghana Blue Economy 25 June 2025.pdf
Augmented Reality,BELONGS_TO_DOMAIN,Platinum Economy,Ethiopia Platinum Economy 26 June 2025.pdf
Tech-Savvy Financial Professionals,HAS_CHARACTERISTIC,Skilled,South Africa Gold Economy 26 June 2025.pdf
Ocean Warming,INFLUENCED_BY,Coastal Fisher,Ghana Blue Economy 25 June 2025.pdf
Renewable Energy Project Engineer,INFLUENCED_BY,Teranga Manpower,Senegal Green Economy 25 June 2025.pdf
Battery Energy Storage Systems (BESS) Technician,HAS_CHARACTERISTIC,Skilled,South Africa Iron Economy 26 June 2025.pdf
Social Protection,REQUIRES_SKILL,Eligibility Assessment,Senegal Yellow Economy 25 June 2025.pdf
Nairobi Circular Economy Baseline Study,LOCATED_IN,Nairobi,Kenya Green Economy 25 June 2025.pdf
PAGE,INFLUENCED_BY,National Solid Waste Management Project (PROMOGED),Senegal Green Economy 25 June 2025.pdf
Coding Bootcamp Instructor,LOCATED_IN,Dakar,Senegal Platinum Economy 26 June 2025.pdf
Solar PV Installer,REQUIRES_SKILL,Electrical Wiring,South Africa Green Economy 25 June 2025.pdf
Digital Marketing Manager,REQUIRES_SKILL,SEO/SEM,Ghana Orange Economy 25 June 2025.pdf
Online Learning Platforms,PART_OF_INDUSTRY,Edtech,South Africa Platinum Economy 26 June 2025.pdf
Guiding,TEACHES_SKILL,Biodiversity,Senegal Green Economy 25 June 2025.pdf
Quarries,BELONGS_TO_DOMAIN,Bronze Economy,Senegal Bronze Economy 26 June 2025.pdf
Battery Engineer,HAS_CHARACTERISTIC,Skilled,South Africa Green Economy 25 June 2025.pdf
Creative Director,REQUIRES_SKILL,Leadership,South Africa Orange Economy 25 June 2025.pdf
Yellow Economy,PART_OF_INDUSTRY,Logistics,South Africa Yellow Economy 25 June 2025.pdf
Production Operator,HAS_CHARACTERISTIC,Unskilled,Senegal Iron Economy 26 June 2025.pdf
Spécialiste en Développement Communautaire,LOCATED_IN,Sédhiou,Senegal Yellow Economy 25 June 2025.pdf
Freelance Technical Writer,HAS_CHARACTERISTIC,Skilled,South Africa Gold Economy 26 June 2025.pdf
3D Modeler,HAS_CHARACTERISTIC,Knowledge,Kenya Orange Economy 25 June 2025.pdf
KNUST,PART_OF_INDUSTRY,Engineering Education,Ghana Platinum Economy 26 June 2025.pdf
University of Ghana,IMPLEMENTS,Master's program in Health Informatics (MHI),Ghana Platinum Economy 26 June 2025.pdf
National Service Personnel,LEADS_TO,"College of Education, University of Ghana",Ghana Yellow Economy 25 June 2025.pdf
Lecturer,HAS_CHARACTERISTIC,Formal,Ghana Blue Economy 25 June 2025.pdf
Universities,INFLUENCED_BY,Curriculum Review,Ethiopia Yellow Economy 25 June 2025.pdf
Climate-Smart Agriculture Consultant,REQUIRES_SKILL,Value Chain Analysis,Senegal Green Economy 25 June 2025.pdf
Public Policy,HAS_PREREQUISITE,Climate Change Mitigation and Adaptation Sector,Ghana Green Economy 25 June 2025.pdf
OBS_Agenda21,PART_OF_INDUSTRY,Committee_on_Culture_of_UCLG,Senegal Orange Economy 25 June 2025.pdf
Electricians,HAS_CHARACTERISTIC,Skilled,South Africa Iron Economy 26 June 2025.pdf
Geographic Information Systems (GIS) Analyst,LOCATED_IN,Dakar,Senegal Platinum Economy 26 June 2025.pdf
Renewable Energy Project Managers,HAS_CHARACTERISTIC,Skilled,South Africa Green Economy 25 June 2025.pdf
Bronze_Economy_Labor_Market_Information_System,BELONGS_TO_DOMAIN,Bronze_Economy,Ghana Bronze Economy 26 June 2025.pdf
Data Scientists,REQUIRES_SKILL,Oceanographic Data Analysis,Ghana Blue Economy 25 June 2025.pdf
NGO Sector,HAS_CHARACTERISTIC,Formal,Kenya Yellow Economy 25 June 2025.pdf
Freelance Graphic Designer,LOCATED_IN,Johannesburg,South Africa Orange Economy 25 June 2025.pdf
Steel Consumption,LOCATED_IN,South Africa,South Africa Iron Economy 26 June 2025.pdf
Project Manager (Innovation/IT),HAS_CHARACTERISTIC,Elastic,Senegal Platinum Economy 26 June 2025.pdf
Risk Advisory Consultant,HAS_CHARACTERISTIC,Skilled,South Africa Gold Economy 26 June 2025.pdf
Registered Nurses,HAS_CHARACTERISTIC,Skilled,South Africa Lavender Economy 25 June 2025.pdf
Seasonal Labor,PART_OF_INDUSTRY,Forestry,Kenya Braonze Economy 25 June 2025.pdf
Wind Turbine Technician,BELONGS_TO_DOMAIN,Green Economy,South Africa Iron Economy 26 June 2025.pdf
Freelancer.com,LEADS_TO,Remote contract work,Lists of Job Platforms in our Countries.pdf
Stakeholder Engagement,PART_OF_INDUSTRY,Government Agencies,Kenya Green Economy 25 June 2025.pdf
Union des Mutuelles du Partenariat pour la Mobilisation de l'Epargne et du Crédit au Sénégal,PART_OF_INDUSTRY,Microfinance,Senegal Gold Economy 26 June 2025.pdf
Production Planning & Control (PPC) Specialist,PART_OF_INDUSTRY,GZI KENYA LIMITED,Kenya Iron Economy 26 June 2025.pdf
Master en Intelligence Artificielle et Big Data (MIABD),PART_OF_INDUSTRY,Ecole ESP,Senegal Platinum Economy 26 June 2025.pdf
Banque Assurance Finance,HAS_CHARACTERISTIC,Knowledge,Senegal Gold Economy 26 June 2025.pdf
Craft Enterprise,HAS_CHARACTERISTIC,Entrepreneurial,South Africa Orange Economy 25 June 2025.pdf
Ministry of Labour,GOVERNED_BY,National Policy,Kenya Braonze Economy 25 June 2025.pdf
Tidal Energy Engineer,BELONGS_TO_DOMAIN,Iron Economy,Kenya Blue Economy 25 June 2025.pdf
Water Treatment Plant Operator/Manager,LOCATED_IN,KwaZulu-Natal,South Africa Green Economy 25 June 2025.pdf
Poultry Farm Worker / Attendant,PART_OF_INDUSTRY,Livestock & Poultry Farming,Ghana Bronze Economy 26 June 2025.pdf
Techniciens Logistique,REQUIRES_SKILL,Warehouse Management,Senegal Iron Economy 26 June 2025.pdf
TVETs,LOCATED_IN,Eldoret,Kenya Iron Economy 26 June 2025.pdf
Project Manager (Innovation/IT),REQUIRES_SKILL,"Bachelor's/Master's; PMP, PRINCE2, or Scrum Master certification",Senegal Platinum Economy 26 June 2025.pdf
M&E Experts,HAS_CHARACTERISTIC,Skilled,Senegal Yellow Economy 25 June 2025.pdf
Actor,HAS_CHARACTERISTIC,Elastic,South Africa Orange Economy 25 June 2025.pdf
Community Engagement and Co-management,PART_OF_INDUSTRY,Forestry,Ghana Green Economy 25 June 2025.pdf
Chartered Institute of Logistics and Transport (CILT) Ghana,PART_OF_INDUSTRY,Logistics and Transport Industry,Ghana Iron Economy 26 June 2025.pdf
Energy Manager,PART_OF_INDUSTRY,Hospitals,Senegal Green Economy 25 June 2025.pdf
Digital Media Designer / Graphic Designer,LOCATED_IN,Dakar,Senegal Platinum Economy 26 June 2025.pdf
Kenya Wildlife Service (KWS),GOVERNED_BY,National Parks,Kenya Green Economy 25 June 2025.pdf
Caseworker,HAS_CHARACTERISTIC,Formal,Kenya Yellow Economy 25 June 2025.pdf
Agroforestry,BELONGS_TO_DOMAIN,Green Economy,Senegal Green Economy 25 June 2025.pdf
Medical Professional,HAS_CHARACTERISTIC,Knowledge,Senegal Undergraduate Admission Prerequisites_.pdf
National TVET Qualifications Framework (NTQF),IMPLEMENTS,TVET Programs,Ethiopian University Admission Prerequisites_.pdf
Internet of Things (IoT),HAS_CHARACTERISTIC,Elastic,Kenya Platinum Economy 26 June 2025.pdf
Business Development Officer,HAS_CHARACTERISTIC,Elastic,Ghana Gold Economy 26 June 2025.pdf
NGO,BELONGS_TO_DOMAIN,Yellow Economy,Kenya Yellow Economy 25 June 2025.pdf
Couturier / Tailleur,REQUIRES_SKILL,Domestic sewing machines,Senegal Orange Economy 25 June 2025.pdf
Contract/Consultancy Opportunities,LOCATED_IN,Ethiopia,Lists of Job Platforms in our Countries.pdf
Green Economy,REQUIRES_SKILL,Sustainability metrics,Planning The Refracted Economies Framework.pdf
IoT,PART_OF_INDUSTRY,Industry,Kenya Platinum Economy 26 June 2025.pdf
Education,BELONGS_TO_DOMAIN,Yellow Economy,Ethiopian University Admission Prerequisites_.pdf
"Artisans (Boat Builders, Engine Mechanics, Net Makers)",BELONGS_TO_DOMAIN,Blue Economy,Kenya Blue Economy 25 June 2025.pdf
Ingénieurs Logistique,REQUIRES_SKILL,Cost Reduction,Senegal Iron Economy 26 June 2025.pdf
Wealth Management Specialist,HAS_CHARACTERISTIC,Permanent,Kenya Gold Economy 26 June 2025.pdf
Forestry Manager (Sustainable Practices),BELONGS_TO_DOMAIN,Green Economy,South Africa Green Economy 25 June 2025.pdf
Informal services,INFLUENCED_BY,Iron Economy,Senegal Iron Economy 26 June 2025.pdf
Extension officers,REQUIRES_SKILL,Communication,Ghana Green Economy 25 June 2025.pdf
Klerksdorp,LOCATED_IN,Northern Cape,South Africa Green Economy 25 June 2025.pdf
MEL Officer,REQUIRES_SKILL,Qualitative Research,Ghana Yellow Economy 25 June 2025.pdf
Etsy,PART_OF_INDUSTRY,Online marketplaces,Ghana Orange Economy 25 June 2025.pdf
Investment Administrator,HAS_CHARACTERISTIC,Knowledge,South Africa Gold Economy 26 June 2025.pdf
Home-Based Caregiver / Nanny / Domestic Worker,HAS_CHARACTERISTIC,Unskilled,Kenya Lavender Economy 25 June 2025.pdf
"Engineer, Advanced Manufacturing",HAS_CHARACTERISTIC,Formal,Ghana Platinum Economy 26 June 2025.pdf
Mechanical Engineering,HAS_PREREQUISITE,Energy Manager,Senegal Green Economy 25 June 2025.pdf
Masons,HAS_CHARACTERISTIC,Unskilled,Ghana Blue Economy 25 June 2025.pdf
Industrial Architects,HAS_CHARACTERISTIC,Skilled,Senegal Iron Economy 26 June 2025.pdf
Construction Worker / Fundi,HAS_CHARACTERISTIC,Physical,Kenya Iron Economy 26 June 2025.pdf
Hospital Administrator,REQUIRES_SKILL,Clinical excellence,Ghana Lavender Economy 25 June 2025.pdf
Environmental Modeling Specialist,HAS_CHARACTERISTIC,Knowledge,Ghana Platinum Economy 26 June 2025.pdf
Literary Agent,BELONGS_TO_DOMAIN,Orange Economy,Ghana Orange Economy 25 June 2025.pdf
Desktop Publisher (DTP),HAS_CHARACTERISTIC,Gig,South Africa Orange Economy 25 June 2025.pdf
Social Media Manager,REQUIRES_SKILL,SEO,Kenya Orange Economy 25 June 2025.pdf
Carbon Project Developer,LOCATED_IN,Western Cape,South Africa Green Economy 25 June 2025.pdf
Environmental Compliance Officers,PART_OF_INDUSTRY,Industrial and Commercial Companies,South Africa Green Economy 25 June 2025.pdf
SAPVIA,TEACHES_SKILL,Energy Auditing,South Africa Green Economy 25 June 2025.pdf
Marine Science,LOCATED_IN,South Africa,South Africa Blue Economy 25 June 2025.pdf
Innovation Manager,HAS_CHARACTERISTIC,Skilled,Ghana Platinum Economy 26 June 2025.pdf
Dereja,INFLUENCED_BY,Youth Unemployment Solutions,Ethiopia Yellow Economy 25 June 2025.pdf
South African freelancer,Platinum Economy,BELONGS_TO_DOMAIN,South Africa Yellow Economy 25 June 2025.pdf
Waste Pickers (récupérateurs),HAS_CHARACTERISTIC,Informal,Senegal Green Economy 25 June 2025.pdf
I&J,LOCATED_IN,"Cape Town, Saldanha Bay",South Africa Blue Economy 25 June 2025.pdf
Volunteer,HAS_CHARACTERISTIC,Unskilled,Kenya Green Economy 25 June 2025.pdf
Monitoring and Evaluation,REQUIRES_SKILL,Data Analyst / M&E Officer,Kenya Yellow Economy 25 June 2025.pdf
Research Assistant,PART_OF_INDUSTRY,Research Institutes,Ghana Platinum Economy 26 June 2025.pdf
Video Editor,HAS_CHARACTERISTIC,Knowledge,Ethiopia Platinum Economy 26 June 2025.pdf
Railways,PART_OF_INDUSTRY,Infrastructure Development,Kenya Iron Economy 26 June 2025.pdf
Agro-industry,PART_OF_INDUSTRY,Formal Sector,Senegal Iron Economy 26 June 2025.pdf
PowerBI,TEACHES_SKILL,Data Science,Kenya Platinum Economy 26 June 2025.pdf
Welder,PART_OF_INDUSTRY,Automotive Artisan,Ghana Iron Economy 26 June 2025.pdf
Senior Caregiver,LOCATED_IN,Nairobi,Kenya Lavender Economy 25 June 2025.pdf
Software Engineer,HAS_CHARACTERISTIC,Knowledge,Kenya Platinum Economy 26 June 2025.pdf
Certified Energy Manager (CEM),HAS_CHARACTERISTIC,Skilled,Ghana Green Economy 25 June 2025.pdf
IT Support,REQUIRES_SKILL,Ticketing Systems,Kenya Platinum Economy 26 June 2025.pdf
Mental Health Authority (MHA),LOCATED_IN,Ghana,Ghana Lavender Economy 25 June 2025.pdf
Hôtesse de Vente (Fashion Boutique),BELONGS_TO_DOMAIN,Orange Economy,Senegal Orange Economy 25 June 2025.pdf
Statistics South Africa,INFLUENCED_BY,Domestic Workers,South Africa Lavender Economy 25 June 2025.pdf
Tourism,BELONGS_TO_DOMAIN,Blue Economy,Ghana Blue Economy 25 June 2025.pdf
Bachelor's/Master's in Business,HAS_PREREQUISITE,Digital Product Manager,Senegal Platinum Economy 26 June 2025.pdf
Freelance,HAS_CHARACTERISTIC,Elastic,Senegal Yellow Economy 25 June 2025.pdf
Able Seafarer,BELONGS_TO_DOMAIN,Blue Economy,South Africa Blue Economy 25 June 2025.pdf
DevOps Engineer,PART_OF_INDUSTRY,Digital Services & Platforms,South Africa Yellow Economy 25 June 2025.pdf
Consultancy,HAS_CHARACTERISTIC,Gig,Senegal Yellow Economy 25 June 2025.pdf
MINISTÈRE DE L'INDUSTRIE ET DE LA PETITE ET MOYENE INDUSTRIE,LOCATED_IN,Senegal,Senegal Iron Economy 26 June 2025.pdf
Chef,BELONGS_TO_DOMAIN,Orange Economy,Kenya Blue Economy 25 June 2025.pdf
Transnet's Maritime School of Excellence (MSoE),TEACHES_SKILL,Harbour Master,South Africa Blue Economy 25 June 2025.pdf
Manager for Data Transformation,HAS_CHARACTERISTIC,Knowledge,Kenya Lavender Economy 25 June 2025.pdf
Kenyan Developers,LOCATED_IN,Kenya,Kenya Platinum Economy 26 June 2025.pdf
Sales,PART_OF_INDUSTRY,Jiji Kenya,Lists of Job Platforms in our Countries.pdf
Data Protection Consultant,HAS_CHARACTERISTIC,Knowledge,Ghana Platinum Economy 26 June 2025.pdf
English,HAS_PREREQUISITE,ESSLE,Ethiopian University Admission Prerequisites_.pdf
Professional Bodies,IMPLEMENTS,Micro-credentials,South Africa Gold Economy 26 June 2025.pdf
Forestry,BELONGS_TO_DOMAIN,Bronze Economy,Kenya Green Economy 25 June 2025.pdf
Solar Energy,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
Green Education,BELONGS_TO_DOMAIN,Green Economy,Ghana Green Economy 25 June 2025.pdf
Mini-Grid Technician,HAS_CHARACTERISTIC,Knowledge,Ghana Iron Economy 26 June 2025.pdf
Media Professionals,HAS_CHARACTERISTIC,Gig,South Africa Orange Economy 25 June 2025.pdf
Senior Data Engineer,HAS_CHARACTERISTIC,Knowledge,South Africa Gold Economy 26 June 2025.pdf
Actor,HAS_CHARACTERISTIC,Gig,Ethiopia Orange Economy 25 June 2025.pdf
GIS courses,PART_OF_INDUSTRY,Renewable Energy Sector,South Africa Green Economy 25 June 2025.pdf
Water -Energy Nexus Analyst,HAS_CHARACTERISTIC,Knowledge,South Africa Green Economy 25 June 2025.pdf
fashion,BELONGS_TO_DOMAIN,Orange Economy,Planning The Refracted Economies Framework.pdf
Fashion Designer,REQUIRES_SKILL,Resilience,Ghana Orange Economy 25 June 2025.pdf
Research Assistant,REQUIRES_SKILL,Molecular Biology Techniques,Ghana Platinum Economy 26 June 2025.pdf
Tableau,PART_OF_INDUSTRY,data visualization,Senegal Yellow Economy 25 June 2025.pdf
Technicien Multimédia,HAS_CHARACTERISTIC,Knowledge,Senegal Orange Economy 25 June 2025.pdf
ASALs,LOCATED_IN,Sustainable Agriculture Projects,Kenya Green Economy 25 June 2025.pdf
EV Technician/Mechanic,HAS_CHARACTERISTIC,Formal,South Africa Green Economy 25 June 2025.pdf
The National Treasury,IMPLEMENTS,Economic Survey 2025,Kenya Iron Economy 26 June 2025.pdf
Community Tourism Coordinator,LOCATED_IN,Limpopo,South Africa Green Economy 25 June 2025.pdf
Solar Photovoltaic Technology,LEADS_TO,Certificate,Ghana Iron Economy 26 June 2025.pdf
Green Hydrogen Technician,REQUIRES_SKILL,hydrogen storage and handling,South Africa Green Economy 25 June 2025.pdf
Logistician,HAS_CHARACTERISTIC,Skilled,Kenya Braonze Economy 25 June 2025.pdf
Strategic Advisor,BELONGS_TO_DOMAIN,Platinum Economy,Senegal Platinum Economy 26 June 2025.pdf
Field Officer,BELONGS_TO_DOMAIN,Bronze Economy,Kenya Green Economy 25 June 2025.pdf
Small-Scale Fisheries,PART_OF_INDUSTRY,Ghana's Bronze Economy,Ghana Bronze Economy 26 June 2025.pdf
publishing industry,LEADS_TO,Publishing Manager,Kenya Orange Economy 25 June 2025.pdf
Diploma in Conservation,PART_OF_INDUSTRY,Forestry,South Africa Green Economy 25 June 2025.pdf
Digital Marketer,HAS_CHARACTERISTIC,Elastic,Kenya Orange Economy 25 June 2025.pdf
Mason/Tiler,LEADS_TO,Informal workforce,Ghana Iron Economy 26 June 2025.pdf
Health Data Scientist,REQUIRES_SKILL,Software Development,Ghana Platinum Economy 26 June 2025.pdf
Sustainability Performance Professional,REQUIRES_SKILL,Electrical Engineering,Kenya Green Economy 25 June 2025.pdf
Reporting Analyst,BELONGS_TO_DOMAIN,Gold Economy,South Africa Gold Economy 26 June 2025.pdf
Standard Chartered Bank,PART_OF_INDUSTRY,Financial Services,Kenya Gold Economy 26 June 2025.pdf
Mathematics,BELONGS_TO_DOMAIN,Platinum Economy,Ethiopian University Admission Prerequisites_.pdf
Digital Marketing Professional,REQUIRES_SKILL,Content Creation,Senegal Orange Economy 25 June 2025.pdf
Project Managers,HAS_CHARACTERISTIC,Inelastic,Senegal Iron Economy 26 June 2025.pdf
Media Houses,HAS_CHARACTERISTIC,Permanent,Ethiopia Platinum Economy 26 June 2025.pdf
State-Certified Midwife,REQUIRES_SKILL,Managing Deliveries,Senegal Lavender Economy 25 June 2025.pdf
Community Health,LOCATED_IN,Kenya,Kenya Lavender Economy 25 June 2025.pdf
United Nations Office at Nairobi,LOCATED_IN,Nairobi,Kenya Yellow Economy 25 June 2025.pdf
Cloud Engineer,HAS_CHARACTERISTIC,Skilled,South Africa Platinum Economy 26 June 2025.pdf
Network Technician,PART_OF_INDUSTRY,Fiber Links,Kenya Platinum Economy 26 June 2025.pdf
GWCL,IMPLEMENTS,Water Resource Management,Ghana Green Economy 25 June 2025.pdf
Climate Mitigation,REQUIRES_SKILL,Climate Tech,Ethiopia Platinum Economy 26 June 2025.pdf
Marine Biotechnology,BELONGS_TO_DOMAIN,Blue Economy,Kenya Blue Economy 25 June 2025.pdf
Gig Economy,LOCATED_IN,Ghana,Ghana Yellow Economy 25 June 2025.pdf
Structural Analysis,REQUIRES_SKILL,Civil Engineer,South Africa Yellow Economy 25 June 2025.pdf
Agro-processing Technologies,BELONGS_TO_DOMAIN,Bronze Economy,Senegal Bronze Economy 26 June 2025.pdf
Manufacturing,HAS_CHARACTERISTIC,Elastic,Kenya Iron Economy 26 June 2025.pdf
Technicien Logistique,HAS_CHARACTERISTIC,Physical,Senegal Iron Economy 26 June 2025.pdf
Cybersecurity for Industrial Systems,LOCATED_IN,Port Elizabeth,South Africa Yellow Economy 25 June 2025.pdf
Financial Accountant,REQUIRES_SKILL,ERP Systems,South Africa Gold Economy 26 June 2025.pdf
Assistant à la Communication et au plaidoyer,IMPLEMENTS,UNDP,Senegal Yellow Economy 25 June 2025.pdf
University of Ghana,PART_OF_INDUSTRY,Molecular biology departments,Ghana Platinum Economy 26 June 2025.pdf
Academic Learning,LEADS_TO,Industrial Practice,Kenya Iron Economy 26 June 2025.pdf
2D/3D Animation,REQUIRES_SKILL,Storyboarding,Ghana Orange Economy 25 June 2025.pdf
WASH Program Manager,HAS_CHARACTERISTIC,Knowledge,Ghana Green Economy 25 June 2025.pdf
Ministry of Innovation and Technology (Ethiopia),LOCATED_IN,Ethiopia,Ethiopia Platinum Economy 26 June 2025.pdf
Travel,LOCATED_IN,Ghana,Ghana Orange Economy 25 June 2025.pdf
Sorting Plant Supervisor,HAS_CHARACTERISTIC,Formal,Kenya Green Economy 25 June 2025.pdf
Instrumentation,HAS_CHARACTERISTIC,Skilled,South Africa Iron Economy 26 June 2025.pdf
Project Engineer,PROGRESSES_TO,Operations Manager,Ghana Green Economy 25 June 2025.pdf
Army Engineer,LOCATED_IN,Ethiopia,Ethiopian University Admission Prerequisites_.pdf
Mining & Quarrying,BELONGS_TO_DOMAIN,Bronze Economy,Ghana Bronze Economy 26 June 2025.pdf
Compliance Officer,GOVERNED_BY,AML/CFT,Senegal Gold Economy 26 June 2025.pdf
Maison de la Femme,REQUIRES_SKILL,Solar Technology,Senegal Iron Economy 26 June 2025.pdf
Research Assistant,BELONGS_TO_DOMAIN,Yellow Economy,Senegal Platinum Economy 26 June 2025.pdf
GeezJobs,IMPLEMENTS,Email/Mobile Alerts,Lists of Job Platforms in our Countries.pdf
Clinical Research Coordinator/Manager,LOCATED_IN,EPHI,Ethiopia Platinum Economy 26 June 2025.pdf
Project Manager,LOCATED_IN,East Rand,South Africa Iron Economy 26 June 2025.pdf
Partnership Building,REQUIRES_SKILL,Waste Picker Association,Ghana Green Economy 25 June 2025.pdf
University,LEADS_TO,Technology Research Scientist,Ghana Platinum Economy 26 June 2025.pdf
Acting workshops,HAS_PREREQUISITE,Theatre Actor,Ghana Orange Economy 25 June 2025.pdf
Business Analyst,REQUIRES_SKILL,Agile Methodologies,Senegal Gold Economy 26 June 2025.pdf
Project Manager,HAS_CHARACTERISTIC,Skilled,Ghana Platinum Economy 26 June 2025.pdf
Community Forestry Program Manager,REQUIRES_SKILL,Co-management Agreements,Ghana Green Economy 25 June 2025.pdf
Quality Assurance Officers,BELONGS_TO_DOMAIN,Blue Economy,Ghana Blue Economy 25 June 2025.pdf
Recycling Technician/Sorting Specialist,HAS_CHARACTERISTIC,Knowledge,South Africa Green Economy 25 June 2025.pdf
Technical Universities,TEACHES_SKILL,Community Health,Ghana Gold Economy 26 June 2025.pdf
Geotechnical Engineer,BELONGS_TO_DOMAIN,Iron Economy,South Africa Iron Economy 26 June 2025.pdf
Animator,PART_OF_INDUSTRY,E-learning,Kenya Orange Economy 25 June 2025.pdf
Manual Laborer,HAS_CHARACTERISTIC,Unskilled,Kenya Blue Economy 25 June 2025.pdf
Finance/HR Assistant,HAS_CHARACTERISTIC,Elastic,Ethiopia Yellow Economy 25 June 2025.pdf
Green Entrepreneur/Innovator,BELONGS_TO_DOMAIN,Green Economy,Ghana Green Economy 25 June 2025.pdf
Bank Teller,REQUIRES_SKILL,Digital Literacy,Senegal Gold Economy 26 June 2025.pdf
Community Health Nurse,REQUIRES_SKILL,Curative Care,Ghana Gold Economy 26 June 2025.pdf
Instructional Designer (Digital Skills),REQUIRES_SKILL,"Content Authoring Tools (Articulate, Captivate)",Senegal Platinum Economy 26 June 2025.pdf
Public Sector Roles,GOVERNED_BY,PSC,Lists of Job Platforms in our Countries.pdf
Farm Hand / General Laborer,REQUIRES_SKILL,farming techniques,Ghana Bronze Economy 26 June 2025.pdf
Ghana,LOCATED_IN,Ghana Wildlife Society,Ghana Blue Economy 25 June 2025.pdf
Fisheries and Aquaculture,PART_OF_INDUSTRY,Blue Economy,South Africa Blue Economy 25 June 2025.pdf
Construction Worker / Fundi,HAS_CHARACTERISTIC,Gig,Kenya Iron Economy 26 June 2025.pdf
Kenya Film Commission,LOCATED_IN,Kenya,Kenya Orange Economy 25 June 2025.pdf
Communication specialists,PART_OF_INDUSTRY,Publishing and Communication,Senegal Orange Economy 25 June 2025.pdf
M&E,INFLUENCED_BY,Digitalization,Senegal Yellow Economy 25 June 2025.pdf
Innovation Program Coordinator/Manager,HAS_CHARACTERISTIC,Skilled,Ghana Green Economy 25 June 2025.pdf
film production,LOCATED_IN,Bahir Dar,Ethiopia Orange Economy 25 June 2025.pdf
IGCSE Biology Tutor,HAS_CHARACTERISTIC,Informal,Kenya Yellow Economy 25 June 2025.pdf
Supply Chain Manager,BELONGS_TO_DOMAIN,Yellow Economy,Kenya Yellow Economy 25 June 2025.pdf
Nurses,HAS_CHARACTERISTIC,Permanent,Kenya Lavender Economy 25 June 2025.pdf
National Tuna Management and Development Strategy,LOCATED_IN,Kenya,Kenya Blue Economy 25 June 2025.pdf
Contrôleur de Gestion (Management Controller or Financial Controller),PART_OF_INDUSTRY,Banking Sector,Senegal Gold Economy 26 June 2025.pdf
Lavender Economy,LOCATED_IN,South Africa,South Africa Lavender Economy 25 June 2025.pdf
Non-Destructive Testing (NDT) Technician,HAS_CHARACTERISTIC,Knowledge,South Africa Iron Economy 26 June 2025.pdf
Professional_Roles,PART_OF_INDUSTRY,Construction_Sector,South Africa Iron Economy 26 June 2025.pdf
Addis Ababa,INFLUENCED_BY,Training,Ethiopia Platinum Economy 26 June 2025.pdf
Hydroelectric Power Plant Operator,REQUIRES_SKILL,Concentration,South Africa Green Economy 25 June 2025.pdf
Freelancer,HAS_CHARACTERISTIC,Knowledge,Ghana Orange Economy 25 June 2025.pdf
shipbuilding,BELONGS_TO_DOMAIN,Iron Economy,Ghana Blue Economy 25 June 2025.pdf
Industrial and Commercial Companies,PART_OF_INDUSTRY,Green Economy,South Africa Green Economy 25 June 2025.pdf
EdTech Platform Engineer,LEADS_TO,Software Engineer,Ethiopia Platinum Economy 26 June 2025.pdf
Toll Collectors,LOCATED_IN,Dakar,Senegal Iron Economy 26 June 2025.pdf
Senior Product Owner,PART_OF_INDUSTRY,FinTech,South Africa Gold Economy 26 June 2025.pdf
Admission Criteria,INFLUENCED_BY,GT College,Ethiopian University Admission Prerequisites_.pdf
Automation,REQUIRES_SKILL,Advanced Manufacturing,Ghana Platinum Economy 26 June 2025.pdf
Coastal County,PART_OF_INDUSTRY,Forestry,Kenya Braonze Economy 25 June 2025.pdf
Bio and Emerging Technology Institute (BETin),INFLUENCED_BY,Animal Biotechnology,Ethiopia Platinum Economy 26 June 2025.pdf
Senegal,LOCATED_IN,Forestry Sector,Senegal Bronze Economy 26 June 2025.pdf
Bio and Emerging Technology Institute (BETin),INFLUENCED_BY,Health Biotechnology,Ethiopia Platinum Economy 26 June 2025.pdf
Digital Skills,LEADS_TO,Diagnostic Software,Senegal Iron Economy 26 June 2025.pdf
Heritage Officer,PART_OF_INDUSTRY,Cultural and Natural Heritage,South Africa Orange Economy 25 June 2025.pdf
Ghana Academy of Film and Television Arts,LOCATED_IN,Ghana,Ghana Orange Economy 25 June 2025.pdf
Green_Economy,HAS_CHARACTERISTIC,Elastic,Senegal Green Economy 25 June 2025.pdf
Sustainability Performance Professional,REQUIRES_SKILL,Problem-Solving Skills,Kenya Green Economy 25 June 2025.pdf
Marine Safety & Surveillance,HAS_CHARACTERISTIC,Informal,South Africa Blue Economy 25 June 2025.pdf
Food Vendors,HAS_CHARACTERISTIC,Unskilled,Kenya Blue Economy 25 June 2025.pdf
Forestry Management and Conservation Specialist,HAS_CHARACTERISTIC,Skilled,Ghana Platinum Economy 26 June 2025.pdf
Telehealth Counselor,BELONGS_TO_DOMAIN,Lavender Economy,Senegal Lavender Economy 25 June 2025.pdf
Pastoralist County,LOCATED_IN,Arid and Semi-Arid Lands (ASALs),Kenya Braonze Economy 25 June 2025.pdf
Senior Environmental Officer,PROGRESSES_TO,Conservation Program Manager,Ghana Green Economy 25 June 2025.pdf
Maritime Safety Management,REQUIRES_SKILL,Develop Transversal and Micro-Credentials,South Africa Blue Economy 25 June 2025.pdf
Fintech Sector,HAS_CHARACTERISTIC,Skilled,Ghana Platinum Economy 26 June 2025.pdf
